1
                          **** CINEMATIQUE ****
 
78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

         0.00        409.77         0.00       7390.23
         0.10        409.77         0.00       7390.23
         0.20        409.76         0.01       7390.24
         0.30        409.76         0.01       7390.24
         0.40        409.74         0.01       7390.26
         0.50        409.73         0.01       7390.27
         0.60        409.71         0.02       7390.29
         0.70        409.69         0.02       7390.31
         0.80        409.67         0.02       7390.33
         0.90        409.65         0.03       7390.35
         1.00        409.62         0.03       7390.38
         1.10        409.58         0.03       7390.42
         1.20        409.55         0.03       7390.45
         1.30        409.51         0.04       7390.49
         1.40        409.47         0.04       7390.53
         1.50        409.43         0.04       7390.57
         1.60        409.38         0.05       7390.62
         1.70        409.33         0.05       7390.67
         1.80        409.28         0.05       7390.72
         1.90        409.22         0.05       7390.78
         2.00        409.16         0.06       7390.84
         2.10        409.10         0.06       7390.90
         2.20        409.03         0.06       7390.97
         2.30        408.96         0.07       7391.04
         2.40        408.89         0.07       7391.11
         2.50        408.82         0.07       7391.18
         2.60        408.74         0.07       7391.26
         2.70        408.66         0.08       7391.34
         2.80        408.58         0.08       7391.42
         2.90        408.49         0.08       7391.51
         3.00        408.40         0.09       7391.60
         3.10        408.31         0.09       7391.69
         3.20        408.21         0.09       7391.79
         3.30        408.11         0.09       7391.89
         3.40        408.01         0.10       7391.99
         3.50        407.91         0.10       7392.09
         3.60        407.80         0.10       7392.20
         3.70        407.69         0.11       7392.31
         3.80        407.58         0.11       7392.42
         3.90        407.46         0.11       7392.54
         4.00        407.34         0.11       7392.66
         4.10        407.22         0.12       7392.78
         4.20        407.09         0.12       7392.91
         4.30        406.96         0.12       7393.04
         4.40        406.83         0.13       7393.17
         4.50        406.70         0.13       7393.30
         4.60        406.56         0.13       7393.44
         4.70        406.42         0.13       7393.58
         4.80        406.27         0.14       7393.73
         4.90        406.13         0.14       7393.87
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

         5.00        405.98         0.14       7394.02
         5.10        405.83         0.15       7394.17
         5.20        405.67         0.15       7394.33
         5.30        405.51         0.15       7394.49
         5.40        405.35         0.15       7394.65
         5.50        405.19         0.16       7394.81
         5.60        405.02         0.16       7394.98
         5.70        404.85         0.16       7395.15
         5.80        404.68         0.17       7395.32
         5.90        404.50         0.17       7395.50
         6.00        404.32         0.17       7395.68
         6.10        404.14         0.17       7395.86
         6.20        403.95         0.18       7396.05
         6.30        403.77         0.18       7396.23
         6.40        403.57         0.18       7396.43
         6.50        403.38         0.18       7396.62
         6.60        403.18         0.19       7396.82
         6.70        402.98         0.19       7397.02
         6.80        402.78         0.19       7397.22
         6.90        402.58         0.20       7397.42
         7.00        402.37         0.20       7397.63
         7.10        402.16         0.20       7397.84
         7.20        401.94         0.20       7398.06
         7.30        401.73         0.21       7398.27
         7.40        401.51         0.21       7398.49
         7.50        401.28         0.21       7398.72
         7.60        401.06         0.21       7398.94
         7.70        400.83         0.22       7399.17
         7.80        400.60         0.22       7399.40
         7.90        400.36         0.22       7399.64
         8.00        400.13         0.23       7399.87
         8.10        399.89         0.23       7400.11
         8.20        399.64         0.23       7400.36
         8.30        399.40         0.23       7400.60
         8.40        399.15         0.24       7400.85
         8.50        398.90         0.24       7401.10
         8.60        398.65         0.24       7401.35
         8.70        398.39         0.24       7401.61
         8.80        398.13         0.25       7401.87
         8.90        397.87         0.25       7402.13
         9.00        397.60         0.25       7402.40
         9.10        397.33         0.26       7402.67
         9.20        397.06         0.26       7402.94
         9.30        396.79         0.26       7403.21
         9.40        396.51         0.26       7403.49
         9.50        396.23         0.27       7403.77
         9.60        395.95         0.27       7404.05
         9.70        395.67         0.27       7404.33
         9.80        395.38         0.27       7404.62
         9.90        395.09         0.28       7404.91
        10.00        394.79         0.28       7405.21
1


 78Ni(p,p)78Ni @ 7800 MeV                                                       

        THLAB3      ELAB3      THLAB4      ELAB4

        10.10        394.50         0.28       7405.50
        10.20        394.20         0.28       7405.80
        10.30        393.90         0.29       7406.10
        10.40        393.59         0.29       7406.41
        10.50        393.29         0.29       7406.71
        10.60        392.98         0.30       7407.02
        10.70        392.67         0.30       7407.33
