1
                          **** CINEMATIQUE ****
 
78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

         0.00         47.42         0.00        728.89
         0.00          3.81         0.00        772.49
         0.10         47.42         0.00        728.89
         0.10          3.81         0.00        772.49
         0.20         47.41         0.01        728.89
         0.20          3.81         0.00        772.49
         0.30         47.41         0.01        728.89
         0.30          3.81         0.00        772.49
         0.40         47.41         0.02        728.89
         0.40          3.81         0.00        772.49
         0.50         47.41         0.02        728.89
         0.50          3.81         0.01        772.49
         0.60         47.41         0.02        728.89
         0.60          3.81         0.01        772.49
         0.70         47.40         0.03        728.90
         0.70          3.81         0.01        772.49
         0.80         47.40         0.03        728.90
         0.80          3.81         0.01        772.49
         0.90         47.39         0.04        728.91
         0.90          3.81         0.01        772.49
         1.00         47.39         0.04        728.91
         1.00          3.81         0.01        772.49
         1.10         47.38         0.05        728.92
         1.10          3.81         0.01        772.49
         1.20         47.38         0.05        728.92
         1.20          3.81         0.01        772.49
         1.30         47.37         0.05        728.93
         1.30          3.81         0.01        772.49
         1.40         47.36         0.06        728.94
         1.40          3.81         0.02        772.49
         1.50         47.36         0.06        728.94
         1.50          3.81         0.02        772.49
         1.60         47.35         0.07        728.95
         1.60          3.81         0.02        772.49
         1.70         47.34         0.07        728.96
         1.70          3.82         0.02        772.49
         1.80         47.33         0.07        728.97
         1.80          3.82         0.02        772.49
         1.90         47.32         0.08        728.98
         1.90          3.82         0.02        772.48
         2.00         47.31         0.08        728.99
         2.00          3.82         0.02        772.48
         2.10         47.30         0.09        729.00
         2.10          3.82         0.02        772.48
         2.20         47.29         0.09        729.01
         2.20          3.82         0.02        772.48
         2.30         47.28         0.09        729.02
         2.30          3.82         0.03        772.48
         2.40         47.26         0.10        729.04
         2.40          3.82         0.03        772.48
         2.50         47.25         0.10        729.05
         2.50          3.82         0.03        772.48
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

         2.60         47.24         0.11        729.06
         2.60          3.82         0.03        772.48
         2.70         47.22         0.11        729.08
         2.70          3.82         0.03        772.48
         2.80         47.21         0.12        729.09
         2.80          3.83         0.03        772.48
         2.90         47.19         0.12        729.11
         2.90          3.83         0.03        772.47
         3.00         47.18         0.12        729.12
         3.00          3.83         0.03        772.47
         3.10         47.16         0.13        729.14
         3.10          3.83         0.04        772.47
         3.20         47.15         0.13        729.15
         3.20          3.83         0.04        772.47
         3.30         47.13         0.14        729.17
         3.30          3.83         0.04        772.47
         3.40         47.11         0.14        729.19
         3.40          3.83         0.04        772.47
         3.50         47.09         0.14        729.21
         3.50          3.83         0.04        772.47
         3.60         47.08         0.15        729.23
         3.60          3.84         0.04        772.46
         3.70         47.06         0.15        729.25
         3.70          3.84         0.04        772.46
         3.80         47.04         0.16        729.26
         3.80          3.84         0.04        772.46
         3.90         47.02         0.16        729.29
         3.90          3.84         0.04        772.46
         4.00         47.00         0.16        729.31
         4.00          3.84         0.05        772.46
         4.10         46.97         0.17        729.33
         4.10          3.84         0.05        772.46
         4.20         46.95         0.17        729.35
         4.20          3.85         0.05        772.46
         4.30         46.93         0.18        729.37
         4.30          3.85         0.05        772.45
         4.40         46.91         0.18        729.39
         4.40          3.85         0.05        772.45
         4.50         46.88         0.18        729.42
         4.50          3.85         0.05        772.45
         4.60         46.86         0.19        729.44
         4.60          3.85         0.05        772.45
         4.70         46.84         0.19        729.47
         4.70          3.86         0.05        772.45
         4.80         46.81         0.20        729.49
         4.80          3.86         0.05        772.44
         4.90         46.79         0.20        729.52
         4.90          3.86         0.06        772.44
         5.00         46.76         0.20        729.54
         5.00          3.86         0.06        772.44
1


 78Ni(p,d)77Ni @ 780 MeV                                                        

        THLAB3      ELAB3      THLAB4      ELAB4

         5.10         46.73         0.21        729.57
         5.10          3.86         0.06        772.44
         5.20         46.71         0.21        729.60
         5.20          3.87         0.06        772.43
         5.30         46.68         0.22        729.62
         5.30          3.87         0.06        772.43
         5.40         46.65         0.22        729.65
         5.40          3.87         0.06        772.43
         5.50         46.62         0.22        729.68
         5.50          3.87         0.06        772.43
         5.60         46.59         0.23        729.71
         5.60          3.88         0.06        772.43
         5.70         46.56         0.23        729.74
